file,pointer,navStyle,currentSource,navMode,fileName,pathOverride,confidence,note
lib/stac/tobank/flows/profile/json/profile_intro.json,/body/children[1]/child/children[9]/child/child/children[0]/child/children[6]/onTap,push,routeName=profile_settings,dart,profile_settings,,auto,"routeName is registered dart key, address-equal"
lib/stac/tobank/flows/profile/json/profile_intro.json,/body/children[1]/child/children[9]/child/child/children[0]/child/children[8]/onTap,push,routeName=profile_rules,dart,profile_rules,,auto,"routeName is registered dart key, address-equal"
lib/stac/tobank/flows/profile/json/profile_intro.json,/body/children[1]/child/children[9]/child/child/children[0]/child/children[10]/onTap,push,routeName=profile_about,dart,profile_about,,auto,"routeName is registered dart key, address-equal"
lib/stac/tobank/flows/profile/json/profile_intro.json,/body/children[1]/child/children[9]/child/child/children[0]/child/children[12]/onTap,push,routeName=profile_contact,dart,profile_contact,,auto,"routeName is registered dart key, address-equal"
lib/stac/tobank/flows/profile/json/profile_invite_friends.json,/appBar/actions[0]/child/onPressed,pop,pop,,,,skip,no source / pop
lib/stac/tobank/flows/profile/json/profile_invite_friends.json,/body/child/children[2]/onTap,push,widgetType=profile_customer_referrals,dart,profile_customer_referrals,,auto,registry key == fileName
lib/stac/tobank/flows/profile/json/profile_rules.json,/appBar/actions[0]/child/onPressed,pop,pop,,,,skip,no source / pop
lib/stac/tobank/flows/profile/json/profile_settings.json,/appBar/actions[0]/child/onPressed,pop,pop,,,,skip,no source / pop
lib/stac/tobank/flows/profile/json/profile_settings.json,/body/child/children[4]/onTap,push,widgetType=profile_change_password,dart,profile_change_password,,auto,registry key == fileName
lib/stac/tobank/flows/promissory/api/GET_promissory_data.json,/GET/data/data/child/body/child/child/children[6]/onPressed/results[0]/action/actions[1],,widgetType=promissory_confirm,dart,promissory_confirm,,auto,registry key == fileName
lib/stac/tobank/flows/promissory/api/GET_promissory_intro.json,/GET/data/appBar/leading/onPressed,pop,pop,,,,skip,no source / pop
lib/stac/tobank/flows/promissory/api/GET_promissory_intro.json,/GET/data/body/children[6]/child/child/children[0]/onTap,push,url=https://api.tobank.com/flows/promissory_old/promissory_rules,apiJson,,https://api.tobank.com/flows/promissory_old/promissory_rules,needs-review,mock url -> keep verbatim
lib/stac/tobank/flows/promissory/api/GET_promissory_issuer.json,/GET/data/child/body/child/child/children[8]/onPressed,,widgetType=promissory_receiver,dart,promissory_receiver,,auto,registry key == fileName
lib/stac/tobank/flows/promissory/api/GET_promissory_payment.json,/GET/data/data/body/child/children[0]/child/onTap/results[0]/action,,widgetType=promissory_sign,dart,promissory_sign,,auto,registry key == fileName
lib/stac/tobank/flows/promissory/api/GET_promissory_receiver.json,/GET/data/data/child/body/child/child/children[8]/onPressed,,widgetType=promissory_data,dart,promissory_data,,auto,registry key == fileName
lib/stac/tobank/flows/promissory/api/GET_promissory_rules.json,/GET/data/child/appBar/leading/onPressed,pop,pop,,,,skip,no source / pop
lib/stac/tobank/flows/promissory/api/GET_promissory_rules.json,/GET/data/child/body/children[5]/child/onPressed,push,widgetType=promissory_deposits,dart,promissory_deposits,,auto,registry key == fileName
lib/stac/tobank/flows/promissory/api/GET_promissory_success.json,/GET/data/data/child/body/child/children[6]/onPressed,popToRoot,popToRoot,,,,skip,no source / pop
lib/stac/tobank/flows/promissory/api/GET_request_promissory_deposit.json,/GET/data/child/appBar/leading/onPressed,pop,pop,,,,skip,no source / pop
lib/stac/tobank/flows/promissory/api/GET_request_promissory_deposit.json,/GET/data/child/body/children[4]/child/onPressed,push,widgetType=promissory_issuer,dart,promissory_issuer,,auto,registry key == fileName
lib/stac/tobank/flows/promissory/json/promissory_confirm.json,/appBar/actions[0]/child/onPressed,pop,pop,,,,skip,no source / pop
lib/stac/tobank/flows/promissory/json/promissory_confirm.json,/body/children[1]/child/onPressed,push,routeName=promissory_payment,dart,promissory_payment,,auto,"routeName is registered dart key, address-equal"
lib/stac/tobank/flows/promissory/json/promissory_data.json,/child/appBar/actions[0]/child/onPressed,pop,pop,,,,skip,no source / pop
lib/stac/tobank/flows/promissory/json/promissory_data.json,/child/body/child/children[0]/children[1]/child/onPressed/actions[10]/results[0]/action/actions[1],push,routeName=promissory_confirm,dart,promissory_confirm,,auto,"routeName is registered dart key, address-equal"
lib/stac/tobank/flows/promissory/json/promissory_intro.json,/child/appBar/actions[0]/child/onPressed,pop,pop,,,,skip,no source / pop
lib/stac/tobank/flows/promissory/json/promissory_intro.json,/child/body/child/children[5]/child/child/children[1]/children[2]/child/child/children[0]/onTap,push,routeName=promissory_rules,dart,promissory_rules,,auto,"routeName is registered dart key, address-equal"
lib/stac/tobank/flows/promissory/json/promissory_issuer.json,/child/child/appBar/actions[0]/child/onPressed,pop,pop,,,,skip,no source / pop
lib/stac/tobank/flows/promissory/json/promissory_issuer.json,/child/replacement/child/appBar/actions[0]/child/onPressed,pop,pop,,,,skip,no source / pop
lib/stac/tobank/flows/promissory/json/promissory_issuer.json,/child/replacement/replacement/appBar/actions[0]/child/onPressed,pop,pop,,,,skip,no source / pop
lib/stac/tobank/flows/promissory/json/promissory_issuer.json,/child/replacement/replacement/body/children[1]/child/onPressed,push,routeName=promissory_receiver,dart,promissory_receiver,,auto,"routeName is registered dart key, address-equal"
lib/stac/tobank/flows/promissory/json/promissory_payment.json,/child/appBar/actions[0]/child/onPressed,pop,pop,,,,skip,no source / pop
lib/stac/tobank/flows/promissory/json/promissory_payment.json,/child/body/children[1]/children[0]/child/child/onPressed/dialog/actions[0]/children[2]/child/onPressed/actions[1]/results[0]/action/actions[2],pushReplacement,routeName=promissory_sign,dart,promissory_sign,,auto,"routeName is registered dart key, address-equal"
lib/stac/tobank/flows/promissory/json/promissory_payment.json,/child/body/children[1]/children[1]/child/child/onPressed,push,routeName=promissory_payment_deposits,dart,promissory_payment_deposits,,auto,"routeName is registered dart key, address-equal"
lib/stac/tobank/flows/promissory/json/promissory_payment_deposits.json,/child/appBar/actions[0]/child/onPressed,pop,pop,,,,skip,no source / pop
lib/stac/tobank/flows/promissory/json/promissory_payment_deposits.json,/child/body/children[4]/child/onPressed/actions[3]/results[0]/action/actions[2],push,routeName=promissory_sign,dart,promissory_sign,,auto,"routeName is registered dart key, address-equal"
lib/stac/tobank/flows/promissory/json/promissory_preview.json,/child/appBar/actions[0]/child/onPressed,pop,pop,,,,skip,no source / pop
lib/stac/tobank/flows/promissory/json/promissory_receiver.json,/child/appBar/actions[0]/child/onPressed,pop,pop,,,,skip,no source / pop
lib/stac/tobank/flows/promissory/json/promissory_receiver.json,/child/body/child/children[1]/child/child/onPressed/actions[2]/results[0]/action/actions[1],push,widgetType=promissory_data,dart,promissory_data,,auto,registry key == fileName
lib/stac/tobank/flows/promissory/json/promissory_receiver.json,/child/body/child/children[2]/child/child/onPressed/actions[2]/results[0]/action/actions[1],push,widgetType=promissory_data,dart,promissory_data,,auto,registry key == fileName
lib/stac/tobank/flows/promissory/json/promissory_rules.json,/child/appBar/actions[0]/child/onPressed,pop,pop,,,,skip,no source / pop
lib/stac/tobank/flows/promissory/json/promissory_rules.json,/child/body/children[5]/child/onPressed/actions[1]/results[0]/action/actions[1],push,routeName=promissory_issuer,dart,promissory_issuer,,auto,"routeName is registered dart key, address-equal"
lib/stac/tobank/flows/promissory/json/promissory_sign.json,/child/appBar/actions[0]/child/onPressed,pop,pop,,,,skip,no source / pop
lib/stac/tobank/flows/promissory/json/promissory_sign.json,/child/body/children[0]/child/children[2]/child/child/children[1]/child/onPressed/dialog/actions[0]/children[2]/child/onPressed/actions[1]/onSuccess/actions[1]/results[0]/action/actions[0]/results[0]/action/actions[2],pushReplacement,routeName=promissory_success,dart,promissory_success,,auto,"routeName is registered dart key, address-equal"
lib/stac/tobank/flows/promissory/json/promissory_success.json,/child/body/children[0]/child/child/children[5]/child/children[0]/children[1]/children[0]/onTap,push,routeName=promissory_preview,dart,promissory_preview,,auto,"routeName is registered dart key, address-equal"
lib/stac/tobank/flows/promissory/json_upload/promissory_confirm.json,/appBar/leading/onPressed,pop,pop,,,,skip,no source / pop
